category,name,description,image_path,display
floral-cakes,Autumn Ivy,"Burnished terracotta round cake wrapped in climbing ivy and white roses. Birthday poetry you can eat. For Karen, whoever you are — this one slaps.",images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_536.jpg,yes
floral-cakes,Wildflower Birthday,White cake ringed with a riot of colorful sugar blooms. Roses. Hydrangeas. Wildflowers. Every shade known to human eyes. Happy birthday Amanda.,images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_873.jpg,yes
floral-cakes,Secret Garden,"Sage green fondant with cascading sugar roses, forget-me-nots and pearl swag detailing. The fanciest thing Heidi has ever made. She denies this.",images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_95.jpg,yes
floral-cakes,Chocolate Rose Wreath,"Dark chocolate cake ringed with a full wreath of buttercream roses in yellow, peach, coral and lavender with little blue forget-me-nots. Looks like a garden, eats like a dream.",images/floral-cakes/chocolate-rose-wreath-cake.jpg,yes
floral-cakes,Pink & White Roses,"A white cake tumbling with soft pink sugar roses, pearl dots and a chocolate-brown bow.",images/floral-cakes/pink-white-rose-cake.jpg,no
birthday-cakes,Rock the Dots at 62,Indigo cake covered in pastel polka dots with giant number toppers. Turning 62 has literally never looked this cool. This might be the boldest birthday cake she's made. She disagrees.,images/birthday-cakes/20250422_193325.jpg,yes
birthday-cakes,Berry Birthday Bliss,"Rustic naked layer cake piled high with blackberries, raspberries and blueberries. Effortlessly gorgeous. Like the person turning 58 clearly is.",images/birthday-cakes/20260304_191745.jpg,yes
birthday-cakes,Chocolate Twin Birthday,Classic chocolate with a pink rosette border. Simple. Perfect. Shared by Neagan and Triana for their 32nd because some things should be shared.,images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_524.jpg,yes
birthday-cakes,Sunshine & Daisies,"White cake dotted with cheerful yellow daisy rosettes. Pure joy, condensed into dessert form. Impossible not to smile at this cake.",images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_743.jpg,yes
birthday-cakes,Chocolate & Roses,Decadent chocolate cake topped with hot pink sugar roses and bright green leaves. Dark chocolate. Bold flowers. This cake has a personality.,images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_742.jpg,no
birthday-cakes,Golden Bow Classic,Golden yellow cake wrapped in white cream rosettes with a fondant bow on top. The kind of cake a grandmother would make if that grandmother were a brilliant artist.,images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1114.jpg,yes
birthday-cakes,Strawberry Fields Forever,White cream cake blanketed in fresh halved strawberries and raspberries. A fruit lover's dream. Also for anyone who wants to feel like they're being healthy while eating cake.,images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_971.jpg,no
birthday-cakes,Happy Birthday Karen,A giant '59' scattered with blue sugar blossoms and ringed by a small forest of candles for Karen's birthday.,images/birthday-cakes/happy-birthday-karen-59-cake.jpg,no
kids-cakes,Quack Attack,"Donald Duck's iconic face sculpted in white and yellow buttercream. His expression is perfect. He looks exactly like he always does — furious, but lovable.",images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_473.jpg,yes
kids-cakes,Angry and Delicious,"The Red Angry Bird himself — round, bold, absolutely fuming — with the whole flock around him. Kids lose their minds. Adults also lose their minds.",images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_530.jpg,yes
kids-cakes,"I'm Ready, I'm Ready!",SpongeBob in full birthday mode on a sheet cake. Joseph's face when he saw this was reportedly priceless. The cake was also reportedly gone in twelve minutes.,images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_544.jpg,yes
kids-cakes,Wild Thing,"Two-tier safari cake: zebra print sides, jungle animals peeking over the top. Christopher apparently did not want to cut it. Christopher had good taste.",images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_547.jpg,yes
kids-cakes,"I Love You, You Love Cake",Barney the purple dinosaur towering over his own two-tier birthday garden. Caylee is turning 2. This cake is going to be the main memory of her childhood. That's fine.,images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_551.jpg,yes
kids-cakes,Fairy Hollow,"Green fondant cake with a garden fairy, pink mushrooms and butterflies. Every little dreamer's birthday wish, made edible. The kid who got this cake is still talking about it.",images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_872.jpg,yes
kids-cakes,All Aboard the Birthday Express!,Thomas the Tank Engine bursting out of a stone fondant tunnel on a two-tier birthday cake. Ian is turning 2. Ian will remember this. Ian's parents will also remember this.,images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_94.jpg,yes
kids-cakes,Here Be Dragons,"A towering castle guarded by a fierce red dragon on blue cobblestones. Made for Nicky in 2011 and honestly still one of the most impressive cakes in the archive. Happy birthday, wherever you are.",images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_964.jpg,yes
kids-cakes,"Mud, Bikes & Birthday!",Muddy terrain cake with a toy ATV and dirt bike. David is turning 2. David has very good birthday cake taste for a two year old.,images/kids-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1086.jpg,yes
kids-cakes,Sk8ter Bday,"A black skateboard with raging red and orange flames for Anthony's birthday. Rad. Absolutely rad. Even comes with a ""No Skateboarding on Public Roadways"" sign, which is commitment to the bit.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_543.jpg,yes
kids-cakes,Piggies in the Chocolate Mud,"Kit Kat fence, fondant piglets wallowing in chocolate mud pool, HAPPY BIRTHDAY candles. The fanciest French bakery you know. Oink.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1113.jpg,yes
kids-cakes,"Adventure Time, Kevin!","Aqua-blue quarter sheet loaded with Finn, Jake, the Ice King and Gunter the penguin for Kevin's birthday. Algebraic. The candles barely fit.",images/kids-cakes/aqua-adventure-time-sheet-cake.jpg,yes
kids-cakes,Snidely Whiplash,"The top-hatted, mustache-twirling cartoon villain himself, hand-painted on a fondant panel against a sunset-orange sky. Curses! Foiled again — it's delicious.",images/kids-cakes/snidely-whiplash-cake.jpg,yes
novelty-cakes,Ingrid's Dragon,"An enormous serpentine dragon — red and blue scales, a hand-sculpted head, the whole nine yards — coiled across the table. Ingrid built this entire showpiece solo, every scale by hand. Yes, all of it.",images/novelty-cakes/large-dragon-cake.jpg,yes
novelty-cakes,Born to Be Wild,"Two-tier Harley-Davidson birthday cake. Chrome bikes, flames, the iconic bar-and-shield. Built for someone who knows exactly who they are.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_57.jpg,yes
novelty-cakes,Road King at 50,Black flame-licked motorcycle cake with a Harley road king on top and golden 50 candles. Half a century of being awesome. The cake knew it.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_58.jpg,yes
novelty-cakes,Stratocaster Sweet,A full-sized blue Fender Stratocaster. Made of cake. For a rock star's birthday. This is the most Heidi cake in the entire collection.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_952.jpg,yes
novelty-cakes,Drop the Beat,A snare drum with fondant tension rods and actual drumsticks resting on top. So realistic people have tried to play it. (Don't play it. It's cake.),images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1077.jpg,yes
novelty-cakes,"Play It Again, Eddie","Black-and-white music birthday cake with treble clef, musical notes and a ""37"" fondant topper. For Eddie. The musical kind. There's also an Eddie cake elsewhere on this site that's a very different vibe.",images/novelty-cakes/20250510_181853.jpeg,yes
novelty-cakes,Born to Ride,"Three massive dirt bike tires stacked up, topped with a Honda CRF420 tearing through the mud. For a dirt bike person's birthday. This cake goes zero to sixty.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_329.jpg,yes
novelty-cakes,Super Bowl Sunday,Full-size football field sheet cake with team helmets and goalposts. The real MVP at any game day party. Eat the losing team's endzone first.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1087.jpg,yes
novelty-cakes,Silver & Black Attack,"All-black Raiders cake with the iconic shield. Just win, baby. Then eat the cake, also baby.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_541.jpg,yes
novelty-cakes,Level Up,An Xbox 360 controller in fondant for Kevin's 16th. The buttons work aesthetically. They do not actually work. This was confirmed.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_671.jpg,yes
novelty-cakes,Game of Cakes,"Fantasy gaming birthday cake with a dragon, Groot, movie prop glasses and rainbow candles. Someone described this as ""maximalist."" They meant it as a compliment.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1007.jpg,yes
novelty-cakes,"Gearhead, Happy 21st","A gear-shaped black cake with a gleaming fondant wrench stamped ""GEARHEAD."" For the car person who has everything. Except this cake.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_537.jpg,yes
novelty-cakes,End of the Rainbow,"Ganache-covered cake overflowing with gold coins, shamrocks and leprechaun hats for St. Patrick's Day. You didn't think there'd be a pot-of-gold cake on here? You clearly haven't been paying attention.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_467.jpg,yes
novelty-cakes,Betty Goes Rogue,Betty Boop reclining in chocolate with red roses. Sassy. Sculpted. A masterpiece. Betty would be honored. Betty would also probably want a slice.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_509.jpg,yes
novelty-cakes,The Fat Rat,"An absolutely tubby fondant rat lounging next to a wedge of cheese. Content. Living his best life. A spirit animal for all of us, really.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_526.jpg,yes
novelty-cakes,Say Cheese!,"A hilariously realistic set of fondant dentures on a purple velvet base. For a dentist's retirement. Or for someone with a very good sense of humor. Both, ideally.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_525.jpg,yes
novelty-cakes,The Best Steak You'll Never Eat,A steak. Corn. Mashed potatoes. Carrots. On a plate. Made entirely of cake. For Jericho's birthday. Jericho has phenomenal taste in birthday cakes. The steak looks medium-rare.,images/novelty-cakes/20250419_095419.jpeg,yes
novelty-cakes,Dark & Dangerous at 47,Black fondant cake with sculpted orange and gold flames. Moody. Bold. Magnificent. Forty-seven never looked this threatening. Meant as a compliment.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1088.jpg,no
novelty-cakes,Skull & Roses,"Red two-tier cake encrusted with dozens of sculpted skulls, roses and gold crowns. HAPPY BIRTHDAY. Gloriously macabre. Exactly the kind of cake this bakery exists to make.",images/novelty-cakes/1459.jpg,yes
novelty-cakes,"Gold Skull, 48 Candles","A gold metallic life-size human skull cake with a snake, calla lilies and the number 48. Stunningly bizarre. Technically one of the most beautiful cakes here. Yes, really.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_92.jpg,yes
novelty-cakes,"Doctor, Doctor!","A doctor's coat, stethoscope, clipboard and prescription pad — all in fondant. Take two slices and call me in the morning. If you eat the whole thing you might actually need the doctor.",images/novelty-cakes/FB_IMG_1772072800484.jpg,yes
novelty-cakes,Cheeky Birthday Surprise 🔞,A sculpted fondant torso cake for Eddie's birthday. Adults only. This was requested. Heidi delivered. She always delivers.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1074.jpg,yes
novelty-cakes,Happy Birthday Dude! 🔞,"A leaf-shaped birthday cake with a very specific leaf in mind. Adults only. Happy Birthday, Dude. You know what you ordered.",images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1079.jpg,yes
novelty-cakes,Cloud Nine 🔞,Pink birthday cake with a full hookah centerpiece in red and gold. Adults only. For the free spirits. For the bold souls. For the people who knew exactly what they wanted their birthday cake to look like.,images/novelty-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1115.jpg,yes
novelty-cakes,Yin & Yang Dragons,"A white fondant round with two dragons locked in a blue-and-black yin-yang, hand-piped right down to the scales. For Nicky. Black candles, naturally.",images/novelty-cakes/yin-yang-dragon-cake.jpg,yes
novelty-cakes,Bullseye,"A regulation dartboard rendered in cake, right down to the red and green wedges. Closest slice to the bull buys the next round.",images/novelty-cakes/dartboard-cake.jpg,yes
novelty-cakes,"Happy Birthday, JJ 🔞","A sculpted torso cake with a Happy Birthday sash and a 'JJ' monogram. Adults only. Requested, delivered, no further questions.",images/novelty-cakes/torso-cake-jj.jpg,yes
novelty-cakes,The Bat-Signal,"The Batman emblem in glossy black on a bright yellow oval. Simple, iconic, and exactly what Gotham ordered.",images/novelty-cakes/batman-cake.jpg,yes
novelty-cakes,Edible Fruit Bouquet,"A bouquet built entirely from fresh fruit — melon balls, strawberries, grapes and star-cut pineapple. Not technically a cake, but a showstopper all the same.",images/novelty-cakes/fruit-bouquet.jpg,no
novelty-cakes,"Orioles Birthday, Donnie","A Baltimore Orioles jersey cake on a green field with the bird mascot perched on top. Happy birthday, Donnie — and let's go O's.",images/novelty-cakes/orioles-cake.jpg,yes
sheet-cakes,Calla Lily Elegance,"White sheet cake with corner bouquets of calla lilies and sunset roses. Clean. Classy. Exactly what ""simple sophistication"" actually looks like.",images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_535.jpg,yes
sheet-cakes,Simply Fabulous,White sheet cake with a blue rosette border and elegant script for Sam's 34th. Classic. Crowd-pleasing. Gone in twenty minutes at any party.,images/birthday-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_746.jpg,yes
sheet-cakes,Stork Has Landed!,White baby shower cake with ABC blocks and a stork topper for Baby Michael. Classic. Sweet. The stork looks like it knows something we don't.,images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_549.jpg,yes
sheet-cakes,Finally Retiring!,"Cream sheet cake with vine-and-rose scrollwork. ""Congratulations on your Retirement."" You made it. Now eat cake. You've earned it.",images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_550.jpg,yes
sheet-cakes,Happy Birthday Cindy,"Soft pink sheet cake with trailing green vines and tiny blue blossoms in the corners. Simple, pretty, and gone by the end of the party.",images/sheet-cakes/pink-birthday-cindy-sheet-cake.jpg,yes
celebration-cakes,Sweet Pink Baby Shower,"Three-tier pink baby shower cake with gold lettering, blocks and ribbon bows. Pink perfection for a new arrival. Someone ate the whole middle tier at the shower. No names.",images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_539.jpg,yes
celebration-cakes,"Welcome to the World, Hank!",Baby blue round cake with fondant booties and silver ribbon. The world got a Hank. Hank got a very good cake to mark the occasion. Fair trade.,images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_527.jpg,yes
celebration-cakes,"You Made It, Marilyn!",White two-tier graduation cake with mortarboard topper for the class of 2015. YOU MADE IT. Heidi made this. Everyone wins in this scenario.,images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1078.jpg,no
celebration-cakes,Forever in Our Hearts,"A tribute sheet cake with hand-piped roses for Eddie John Motley, 1986–2022. ""Forever in our hearts."" Heidi made this with love. That's what she does.",images/celebration-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_488.jpg,yes
holiday-and-seasonal,Frosty Says Hello,"Two-tier snowman cake with a top hat, red striped scarf, twig arms and a ""Season's Greetings"" sign. You will feel terrible cutting into this. Cut into it anyway. It's delicious.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_439.jpg,yes
holiday-and-seasonal,Christmas Cookie Factory,"Santas, trees, holly wreaths, bells — all impeccably decorated. Santa has seen this. Santa gave it five stars. Santa asked if he could place an order.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1067.jpg,yes
holiday-and-seasonal,Santa's Little Helpers,"Rows of buttercream Santa cookies with jolly faces, belts and holly. Almost too cute to eat. Not quite. Still ate them.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1066.jpg,yes
holiday-and-seasonal,12 Days of Cookies,"Snowmen, wreaths, Santas, candy canes, trees — a full Christmas cookie collection. Order in early November. She is not kidding about this.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_428.jpg,yes
holiday-and-seasonal,Holiday Cookie Spread,"Trees, stockings, Santa-clad cookies beautifully iced for the holiday table. Nobody leaves empty-handed. Nobody leaves without eating four.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_879.jpg,yes
holiday-and-seasonal,Stars & Snowflakes,"Star and snowflake sugar cookies in red, green and white. Perfect for gifting. Perfect for eating alone with a cup of tea. Perfect, period.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_880.jpg,yes
holiday-and-seasonal,Santa Hat Parade,"Santa hats, candy canes and gingerbread men in formation. Pure holiday magic. Your kids will ask for these every year. Plan accordingly.",images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_881.jpg,yes
holiday-and-seasonal,Snowflake Season,Large snowflake sugar cookies alongside Christmas house cookies. Iced to absolute perfection. A winter wonderland on a plate. Order early. Everyone wants these.,images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_882.jpg,yes
cupcakes,The Cupcake Bouquet,"Cupcakes piped to look like roses, chrysanthemums and dahlias, arranged like a florist's bouquet in a gift box. A bouquet you can eat. Heidi's big heart in dessert form.",images/cupcakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1072.jpg,yes
cupcakes,Boo Crew Cupcakes,Chocolate cupcakes with fondant ghosts and jack-o-lanterns. Trick or treat yourself. These disappear at Halloween parties at a rate that can only be described as supernatural.,images/holiday-and-seasonal/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_949.jpg,yes
cupcakes,Purple Rain Cupcake Collection,"A dozen cupcakes with swirling purple, teal and white buttercream rosettes scattered with pearl sprinkles. One dozen reasons to be happy. Order two dozen to be sure.",images/cupcakes/20250422_124247.jpg,yes
